Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
287,287.14718,Pseudomonas aeruginosa strain DMC-20C,levofloxacin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.91, CI[0.88, 0.94]",Computational Method,,
287,287.31156,Pseudomonas aeruginosa BDMZA1,levofloxacin,,8,,8,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.66, CI[0.59, 0.73]",Computational Method,,
287,287.25246,Pseudomonas aeruginosa DMC30b,meropenem,,8,,8,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.41, CI[0.37, 0.46]",Computational Method,,
287,287.25246,Pseudomonas aeruginosa DMC30b,tobramycin,,8,,8,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.72, CI[0.66, 0.77]",Computational Method,,
287,287.14718,Pseudomonas aeruginosa strain DMC-20C,amikacin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.78, CI[0.71, 0.84]",Computational Method,,
287,287.14718,Pseudomonas aeruginosa strain DMC-20C,imipenem,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.81, CI[0.77, 0.85]",Computational Method,,
287,287.3356,Pseudomonas aeruginosa SHNIBPS206,imipenem,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.81, CI[0.77, 0.85]",Computational Method,,
287,287.31156,Pseudomonas aeruginosa BDMZA1,levofloxacin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.91, CI[0.88, 0.94]",Computational Method,,
287,287.31156,Pseudomonas aeruginosa BDMZA1,levofloxacin,Resistant,,,,,,,,PATRIC,,,AdaBoost Classifier,,"Accuracy:0.845, F1 score:0.852, AUC:0.898",Computational Method,,
287,287.3356,Pseudomonas aeruginosa SHNIBPS206,cefepime,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.65, CI[0.57, 0.72]",Computational Method,,
287,287.9072,Pseudomonas aeruginosa strain DMC-27b,levofloxacin,Resistant,,,,,,,,PATRIC,,,AdaBoost Classifier,,"Accuracy:0.845, F1 score:0.852, AUC:0.898",Computational Method,,
287,287.3356,Pseudomonas aeruginosa SHNIBPS206,levofloxacin,Resistant,,,,,,,,PATRIC,,,AdaBoost Classifier,,"Accuracy:0.845, F1 score:0.852, AUC:0.898",Computational Method,,
287,287.9072,Pseudomonas aeruginosa strain DMC-27b,piperacillin/tazobactam,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.82, CI[0.68, 0.97]",Computational Method,,
287,287.25246,Pseudomonas aeruginosa DMC30b,aztreonam,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.63, CI[0.52, 0.73]",Computational Method,,
287,287.31156,Pseudomonas aeruginosa BDMZA1,cefepime,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.65, CI[0.57, 0.72]",Computational Method,,
287,287.25246,Pseudomonas aeruginosa DMC30b,tobramycin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.92, CI[0.89, 0.96]",Computational Method,,
287,287.13267,Pseudomonas aeruginosa strain SRS1,ciprofloxacin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.91, CI[0.88, 0.95]",Computational Method,,
287,287.14718,Pseudomonas aeruginosa strain DMC-20C,amikacin,,16,,16,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.70, CI[0.62, 0.77]",Computational Method,,
287,287.9072,Pseudomonas aeruginosa strain DMC-27b,ciprofloxacin,,8,,8,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.68, CI[0.53, 0.84]",Computational Method,,
287,287.3356,Pseudomonas aeruginosa SHNIBPS206,meropenem,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.70, CI[0.63, 0.77]",Computational Method,,
287,287.40604,Pseudomonas aeruginosa PA-CU-1,levofloxacin,Resistant,,,,,,,,PATRIC,,,AdaBoost Classifier,,"Accuracy:0.845, F1 score:0.852, AUC:0.898",Computational Method,,
287,287.31156,Pseudomonas aeruginosa BDMZA1,imipenem,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.81, CI[0.77, 0.85]",Computational Method,,
287,287.14718,Pseudomonas aeruginosa strain DMC-20C,ciprofloxacin,,8,,8,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.68, CI[0.53, 0.84]",Computational Method,,
287,287.9072,Pseudomonas aeruginosa strain DMC-27b,aztreonam,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.63, CI[0.52, 0.73]",Computational Method,,
287,287.14718,Pseudomonas aeruginosa strain DMC-20C,colistin,,1,,1,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.91, CI[0.86, 0.97]",Computational Method,,
287,287.40603,Pseudomonas aeruginosa PA-CU-2,levofloxacin,Susceptible,,,,,,,,PATRIC,,,AdaBoost Classifier,,"Accuracy:0.845, F1 score:0.852, AUC:0.898",Computational Method,,
287,287.25246,Pseudomonas aeruginosa DMC30b,ciprofloxacin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.91, CI[0.88, 0.95]",Computational Method,,
287,287.31156,Pseudomonas aeruginosa BDMZA1,ceftazidime,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.75, CI[0.70, 0.81]",Computational Method,,
287,287.13267,Pseudomonas aeruginosa strain SRS1,ceftolozane/tazobactam,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.84, CI[0.72, 0.96]",Computational Method,,
287,287.3356,Pseudomonas aeruginosa SHNIBPS206,meropenem,,16,,16,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.41, CI[0.37, 0.46]",Computational Method,,
287,287.3356,Pseudomonas aeruginosa SHNIBPS206,ceftazidime,,64,,64,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.50, CI[0.39, 0.62]",Computational Method,,
287,287.31156,Pseudomonas aeruginosa BDMZA1,meropenem,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.70, CI[0.63, 0.77]",Computational Method,,
287,287.31156,Pseudomonas aeruginosa BDMZA1,ceftolozane/tazobactam,Susceptible,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.84, CI[0.72, 0.96]",Computational Method,,
287,287.25246,Pseudomonas aeruginosa DMC30b,amikacin,,32,,32,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.70, CI[0.62, 0.77]",Computational Method,,
287,287.14718,Pseudomonas aeruginosa strain DMC-20C,ceftazidime/avibactam,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.81, CI[0.73, 0.88]",Computational Method,,
287,287.9072,Pseudomonas aeruginosa strain DMC-27b,cefepime,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.65, CI[0.57, 0.72]",Computational Method,,
287,287.3356,Pseudomonas aeruginosa SHNIBPS206,amikacin,,16,,16,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.70, CI[0.62, 0.77]",Computational Method,,
287,287.14718,Pseudomonas aeruginosa strain DMC-20C,gentamicin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.91, CI[0.86, 0.96]",Computational Method,,
287,287.13267,Pseudomonas aeruginosa strain SRS1,ceftazidime,,64,,64,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.50, CI[0.39, 0.62]",Computational Method,,
287,287.13267,Pseudomonas aeruginosa strain SRS1,levofloxacin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.91, CI[0.88, 0.94]",Computational Method,,
287,287.3356,Pseudomonas aeruginosa SHNIBPS206,levofloxacin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.91, CI[0.88, 0.94]",Computational Method,,
287,287.40602,Pseudomonas aeruginosa PA-CU-3,levofloxacin,Susceptible,,,,,,,,PATRIC,,,AdaBoost Classifier,,"Accuracy:0.845, F1 score:0.852, AUC:0.898",Computational Method,,
287,287.14718,Pseudomonas aeruginosa strain DMC-20C,levofloxacin,,32,,32,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.66, CI[0.59, 0.73]",Computational Method,,
287,287.3356,Pseudomonas aeruginosa SHNIBPS206,tobramycin,Resistant,,,,,,,,,,,SIR XGBoost Model,202503101,"F1 score: 0.92, CI[0.89, 0.96]",Computational Method,,
287,287.9072,Pseudomonas aeruginosa strain DMC-27b,amikacin,,64,,64,mg/L,,,,,,,MIC XGBoost Model,202503101,"W1 score: 0.70, CI[0.62, 0.77]",Computational Method,,
